3.16227766017e-06     2.00942920715e-27     2.00942920715e-27 
3.1662853755e-06     1.99682178879e-27     1.99682178879e-27 
3.17029817002e-06     1.98429356569e-27     1.98429356569e-27 
3.17431605015e-06     1.97184403989e-27     1.97184403989e-27 
3.17833902235e-06     1.95947271659e-27     1.95947271659e-27 
3.18236709307e-06     1.94717910405e-27     1.94717910405e-27 
3.18640026877e-06     1.93496271368e-27     1.93496271368e-27 
3.19043855591e-06     1.92282305992e-27     1.92282305992e-27 
3.19448196098e-06     1.91075966029e-27     1.91075966029e-27 
3.19853049046e-06     1.89877203534e-27     1.89877203534e-27 
3.20258415085e-06     1.88685970863e-27     1.88685970863e-27 
3.20664294866e-06     1.87502220674e-27     1.87502220674e-27 
3.21070689038e-06     1.8632590592e-27     1.8632590592e-27 
3.21477598254e-06     1.85156979852e-27     1.85156979852e-27 
3.21885023167e-06     1.83995396014e-27     1.83995396014e-27 
3.2229296443e-06     1.82841108243e-27     1.82841108243e-27 
3.22701422698e-06     1.81694070667e-27     1.81694070667e-27 
3.23110398626e-06     1.80554237702e-27     1.80554237702e-27 
3.2351989287e-06     1.79421564049e-27     1.79421564049e-27 
3.23929906087e-06     1.78296004698e-27     1.78296004698e-27 
3.24340438934e-06     1.77177514919e-27     1.77177514919e-27 
3.24751492071e-06     1.76066050265e-27     1.76066050265e-27 
3.25163066156e-06     1.74961566568e-27     1.74961566568e-27 
3.2557516185e-06     1.73864019938e-27     1.73864019938e-27 
3.25987779813e-06     1.72773366761e-27     1.72773366761e-27 
3.26400920709e-06     1.71689563699e-27     1.71689563699e-27 
3.26814585199e-06     1.70612567683e-27     1.70612567683e-27 
3.27228773947e-06     1.69542335919e-27     1.69542335919e-27 
3.27643487617e-06     1.6847882588e-27     1.6847882588e-27 
3.28058726875e-06     1.67421995308e-27     1.67421995308e-27 
3.28474492387e-06     1.66371802209e-27     1.66371802209e-27 
3.2889078482e-06     1.65328204856e-27     1.65328204856e-27 
3.29307604841e-06     1.6429116178e-27     1.6429116178e-27 
3.2972495312e-06     1.63260631779e-27     1.63260631779e-27 
3.30142830325e-06     1.62236573904e-27     1.62236573904e-27 
3.30561237128e-06     1.61218947469e-27     1.61218947469e-27 
3.30980174198e-06     1.6020771204e-27     1.6020771204e-27 
3.31399642209e-06     1.5920282744e-27     1.5920282744e-27 
3.31819641833e-06     1.58204253744e-27     1.58204253744e-27 
3.32240173744e-06     1.57211951277e-27     1.57211951277e-27 
3.32661238616e-06     1.56225880616e-27     1.56225880616e-27 
3.33082837125e-06     1.55246002583e-27     1.55246002583e-27 
3.33504969948e-06     1.5427227825e-27     1.5427227825e-27 
3.33927637761e-06     1.5330466893e-27     1.5330466893e-27 
3.34350841242e-06     1.52343136183e-27     1.52343136183e-27 
3.34774581071e-06     1.51387641809e-27     1.51387641809e-27 
3.35198857926e-06     1.50438147849e-27     1.50438147849e-27 
3.35623672489e-06     1.49494616582e-27     1.49494616582e-27 
3.36049025442e-06     1.48557010525e-27     1.48557010525e-27 
3.36474917466e-06     1.4762529243e-27     1.4762529243e-27 
3.36901349244e-06     1.46699425286e-27     1.46699425286e-27 
3.37328321461e-06     1.4577937231e-27     1.4577937231e-27 
3.37755834802e-06     1.44865096955e-27     1.44865096955e-27 
3.38183889952e-06     1.43956562903e-27     1.43956562903e-27 
3.38612487598e-06     1.43053734061e-27     1.43053734061e-27 
3.39041628428e-06     1.42156574568e-27     1.42156574568e-27 
3.3947131313e-06     1.41265048786e-27     1.41265048786e-27 
3.39901542393e-06     1.40379121301e-27     1.40379121301e-27 
3.40332316908e-06     1.39498756923e-27     1.39498756923e-27 
3.40763637365e-06     1.38623920681e-27     1.38623920681e-27 
3.41195504456e-06     1.37754577829e-27     1.37754577829e-27 
3.41627918874e-06     1.36890693833e-27     1.36890693833e-27 
3.42060881314e-06     1.36032234382e-27     1.36032234382e-27 
3.42494392468e-06     1.35179165377e-27     1.35179165377e-27 
3.42928453034e-06     1.34331452935e-27     1.34331452935e-27 
3.43363063706e-06     1.33489063388e-27     1.33489063388e-27 
3.43798225182e-06     1.32651963275e-27     1.32651963275e-27 
3.44233938161e-06     1.31820119351e-27     1.31820119351e-27 
3.44670203341e-06     1.30993498577e-27     1.30993498577e-27 
3.45107021422e-06     1.30172068122e-27     1.30172068122e-27 
3.45544393105e-06     1.29355795362e-27     1.29355795362e-27 
3.45982319092e-06     1.28544647878e-27     1.28544647878e-27 
3.46420800084e-06     1.27738593455e-27     1.27738593455e-27 
3.46859836785e-06     1.26937600082e-27     1.26937600082e-27 
3.472994299e-06     1.26141635948e-27     1.26141635948e-27 
3.47739580134e-06     1.25350669441e-27     1.25350669441e-27 
3.48180288192e-06     1.2456466915e-27     1.2456466915e-27 
3.48621554782e-06     1.2378360386e-27     1.2378360386e-27 
3.49063380612e-06     1.23007442555e-27     1.23007442555e-27 
3.4950576639e-06     1.2223615441e-27     1.2223615441e-27 
3.49948712826e-06     1.21469708798e-27     1.21469708798e-27 
3.50392220631e-06     1.20708075282e-27     1.20708075282e-27 
3.50836290516e-06     1.19951223617e-27     1.19951223617e-27 
3.51280923193e-06     1.19199123749e-27     1.19199123749e-27 
3.51726119375e-06     1.18451745812e-27     1.18451745812e-27 
3.52171879778e-06     1.17709060129e-27     1.17709060129e-27 
3.52618205115e-06     1.1697103721e-27     1.1697103721e-27 
3.53065096103e-06     1.16237647748e-27     1.16237647748e-27 
3.53512553459e-06     1.15508862622e-27     1.15508862622e-27 
3.539605779e-06     1.14784652896e-27     1.14784652896e-27 
