#DRSE 153 Mpc
#frequency seismic suspension_thermal mirror_thermal quantum quantum_squeezing total
1.804e+00 7.398e-18 1.131e-19 1.599e-23 9.136e-21 1.862e-20 7.399e-18
1.821e+00 6.885e-18 1.439e-19 1.592e-23 8.969e-21 1.828e-20 6.886e-18
1.838e+00 6.407e-18 2.008e-19 1.585e-23 8.805e-21 1.795e-20 6.410e-18
1.855e+00 5.963e-18 3.402e-19 1.577e-23 8.644e-21 1.762e-20 5.973e-18
1.872e+00 5.550e-18 1.210e-18 1.570e-23 8.486e-21 1.730e-20 5.680e-18
1.889e+00 5.165e-18 7.365e-19 1.563e-23 8.331e-21 1.698e-20 5.217e-18
1.907e+00 4.807e-18 2.769e-19 1.556e-23 8.178e-21 1.667e-20 4.815e-18
1.924e+00 4.475e-18 1.686e-19 1.549e-23 8.029e-21 1.637e-20 4.478e-18
1.942e+00 4.165e-18 1.202e-19 1.542e-23 7.882e-21 1.607e-20 4.167e-18
1.960e+00 3.877e-18 9.285e-20 1.535e-23 7.738e-21 1.578e-20 3.878e-18
1.978e+00 3.609e-18 7.526e-20 1.528e-23 7.596e-21 1.549e-20 3.610e-18
1.997e+00 3.360e-18 6.303e-20 1.521e-23 7.457e-21 1.521e-20 3.361e-18
2.015e+00 3.128e-18 5.403e-20 1.515e-23 7.321e-21 1.493e-20 3.129e-18
2.034e+00 2.912e-18 4.714e-20 1.508e-23 7.187e-21 1.466e-20 2.913e-18
2.053e+00 2.711e-18 4.171e-20 1.501e-23 7.056e-21 1.439e-20 2.712e-18
2.072e+00 2.525e-18 3.731e-20 1.494e-23 6.927e-21 1.413e-20 2.525e-18
2.091e+00 2.351e-18 3.368e-20 1.488e-23 6.800e-21 1.387e-20 2.351e-18
2.110e+00 2.189e-18 3.064e-20 1.481e-23 6.676e-21 1.362e-20 2.189e-18
2.130e+00 2.038e-18 2.805e-20 1.474e-23 6.554e-21 1.337e-20 2.038e-18
2.149e+00 1.898e-18 2.582e-20 1.468e-23 6.434e-21 1.313e-20 1.898e-18
2.169e+00 1.768e-18 2.389e-20 1.461e-23 6.316e-21 1.289e-20 1.768e-18
2.189e+00 1.646e-18 2.219e-20 1.454e-23 6.201e-21 1.265e-20 1.646e-18
