f_AtomClock	h_AtomClock
0.0001	5.333964888817631e-21
0.00010232929922807536	5.1647588924513674e-21
0.00010471285480508996	5.0014066166098515e-21
0.00010715193052376059	4.8437091415456705e-21
0.00010964781961431851	4.691474232629268e-21
0.0001122018454301963	4.5445161105373974e-21
0.0001148153621496883	4.402655229232356e-21
0.0001174897554939529	4.2657180614778055e-21
0.00012022644346174131	4.133536891646145e-21
0.0001230268770812381	4.0059496155820406e-21
0.00012589254117941674	3.882799547295248e-21
0.00012882495516931337	3.7639352322649355e-21
0.00013182567385564074	3.649210267145576e-21
0.00013489628825916533	3.538483125672924e-21
0.00013803842646028852	3.431616990575909e-21
0.0001412537544622754	3.3284795913079758e-21
0.0001445439770745928	3.228943047418184e-21
0.00014791083881682073	3.1328837173893726e-21
0.00015135612484362088	3.0401820527768397e-21
0.0001548816618912481	2.9507224574873256e-21
0.00015848931924611142	2.8643931520435265e-21
0.00016218100973589298	2.7810860426850357e-21
0.00016595869074375615	2.700696595161337e-21
0.00016982436524617443	2.623123713077449e-21
0.00017378008287493763	2.5482696206568244e-21
0.00017782794100389227	2.476039749790338e-21
0.00018197008586099826	2.4063426312435494e-21
0.00018620871366628676	2.3390897898978503e-21
0.00019054607179632481	2.2741956439038716e-21
0.00019498445997580456	2.2115774076281077e-21
0.00019952623149688788	2.1511549982759536e-21
0.00020417379446695296	2.0928509460762313e-21
0.00020892961308540387	2.0365903079139177e-21
0.00021379620895022324	1.9823005842990798e-21
0.00021877616239495518	1.9299116395612246e-21
0.000223872113856834	1.8793556251590604e-21
0.00022908676527677723	1.8305669059964705e-21
0.00023442288153199226	1.783481989636024e-21
0.000239883291901949	1.7380394583018933e-21
0.0002454708915685031	1.694179903564391e-21
0.00025118864315095795	1.6518458635988815e-21
0.0002570395782768865	1.6109817629121256e-21
0.00026302679918953814	1.571533854429797e-21
0.00026915348039269167	1.5334501638394092e-21
0.0002754228703338166	1.4966804360838362e-21
0.0002818382931264455	1.461176083901488e-21
0.00028840315031266055	1.4268901383105535e-21
0.0002951209226666387	1.3937772009361219e-21
0.0003019951720402016	1.361793398080866e-21
0.0003090295432513592	1.3308963364419739e-21
0.00031622776601683794	1.301045060379508e-21
0.0003235936569296281	1.2722000106439962e-21
0.0003311311214825911	1.2443229844741905e-21
0.00033884415613920273	1.2173770969792175e-21
0.0003467368504525317	1.191326743723002e-21
0.0003548133892335753	1.1661375644327598e-21
0.0003630780547701014	1.1417764077575148e-21
0.0003715352290971728	1.1182112970069356e-21
0.00038018939632056124	1.0954113968053247e-21
0.0003890451449942805	1.0733469806002607e-21
0.00039810717055349735	1.051989398970137e-21
0.0004073802778041126	1.0313110486796086e-21
0.0004168693834703355	1.011285342436745e-21
0.00042657951880159257	9.91886679310438e-22
0.0004365158322401661	9.73090415771193e-22
0.00044668359215096305	9.548728373229904e-22
0.0004570881896148752	9.372111306981737e-22
0.00046773514128719813	9.200833565914753e-22
0.00047863009232263854	9.034684229131373e-22
0.0004897788193684461	8.873460585447245e-22
0.0005011872336272725	8.716967875845265e-22
0.0005128613839913648	8.565019040725198e-22
0.0005248074602497723	8.417434471875204e-22
0.0005370317963702527	8.2740417691163505e-22
0.0005495408738576248	8.13467550159161e-22
0.0005623413251903491	7.999176973688819e-22
0.0005754399373371566	7.86739399560196e-22
0.0005888436553555889	7.739180658546916e-22
0.0006025595860743581	7.614397114656994e-22
0.0006165950018614823	7.492909361589959e-22
0.000630957344480193	7.374589031882522e-22
0.0006456542290346556	7.259313187090101e-22
0.0006606934480075965	7.146964116749534e-22
0.0006760829753919819	7.037429142200666e-22
0.0006918309709189362	6.930600425299189e-22
0.000707945784384138	6.826374782048675e-22
0.0007244359600749898	6.724653501173631e-22
0.0007413102413009177	6.625342167648844e-22
0.0007585775750291835	6.528350491192966e-22
0.0007762471166286919	6.433592139726132e-22
0.0007943282347242813	6.340984577783388e-22
0.0008128305161640995	6.250448909867004e-22
0.0008317637711026709	6.161909728712536e-22
0.0008511380382023768	6.075294968434697e-22
0.0008709635899560805	5.990535762511243e-22
0.0008912509381337459	5.907566306554741e-22
0.0009120108393559096	5.826323725814776e-22
0.0009332543007969905	5.746747947345694e-22
0.0009549925860214359	5.668781576768445e-22
0.000977237220955811	5.592369779548742e-22
0.001	5.517460166708093e-22
0.0010232929922807535	5.444002684879175e-22
0.0010471285480508996	5.371949510612386e-22
0.001071519305237607	5.301254948836477e-22
0.0010964781961431851	5.231875335372611e-22
0.001122018454301963	5.163768943398439e-22
0.0011481536214968829	5.096895893756292e-22
0.0011748975549395304	5.0312180689978205e-22
0.001202264434617413	4.966699031055961e-22
0.0012302687708123812	4.903303942434265e-22
0.0012589254117941675	4.840999490803121e-22
0.001288249551693135	4.779753816892317e-22
0.0013182567385564075	4.719536445569681e-22
0.0013489628825916532	4.660318219996196e-22
0.0013803842646028853	4.602071238748917e-22
0.0014125375446227555	4.544768795804279e-22
0.001445439770745928	4.488385323275782e-22
0.0014791083881682072	4.432896336801868e-22
0.0015135612484362072	4.378278383481613e-22
0.0015488166189124811	4.324508992258e-22
0.001584893192461114	4.271566626650705e-22
0.0016218100973589297	4.219430639742709e-22
0.0016595869074375598	4.168081231327524e-22
0.0016982436524617442	4.117499407126318e-22
0.0017378008287493763	4.067666939986824e-22
0.0017782794100389228	4.01856633297862e-22
0.0018197008586099826	3.9701807843019696e-22
0.0018620871366628676	3.922494153930191e-22
0.0019054607179632482	3.8754909319081915e-22
0.0019498445997580456	3.8291562082324693e-22
0.001995262314968879	3.783475644240668e-22
